,agent_1,agent_2,response
0,1,2,1
1,3,4,1
2,1,2,1
3,3,4,1
4,1,2,1
5,3,4,1
6,1,2,0
7,3,4,1
8,1,2,0
9,3,4,0
10,1,2,1
11,4,3,0
12,1,2,0
13,4,3,1
14,1,2,1
15,3,4,1
16,1,2,0
17,4,3,1
18,1,2,0
19,4,3,0
20,1,2,1
21,4,3,0
22,1,3,0
23,2,4,1
24,1,3,0
25,2,4,0
26,1,2,1
27,4,3,0
28,1,3,0
29,2,4,1
30,1,3,1
31,2,4,1
32,1,3,0
33,2,4,1
34,1,3,0
35,2,4,1
36,1,3,1
37,4,2,0
38,1,3,0
39,4,2,0
40,1,3,0
41,4,2,0
42,1,3,0
43,4,2,1
44,1,3,0
45,4,2,0
46,1,4,1
47,2,3,0
48,1,4,0
49,3,2,1
50,1,4,1
51,2,3,0
52,1,4,1
53,3,2,0
54,1,4,1
55,2,3,0
56,1,4,1
57,2,3,0
58,1,4,1
59,3,2,0
60,1,4,0
61,3,2,0
62,1,3,0
63,4,2,0
64,1,4,1
65,3,2,1
66,1,4,1
67,2,3,0
68,2,1,1
69,3,4,1
70,2,1,1
71,3,4,0
72,2,1,1
73,3,4,0
74,2,1,1
75,3,4,0
76,2,1,1
77,3,4,1
78,2,1,0
79,4,3,0
80,2,1,1
81,4,3,1
82,2,1,0
83,4,3,0
84,2,1,0
85,4,3,1
86,2,1,0
87,4,3,1
88,2,3,0
89,1,4,1
90,2,1,0
91,4,3,0
92,2,3,1
93,1,4,1
94,2,3,1
95,1,4,0
96,2,3,0
97,1,4,0
98,2,3,0
99,1,4,1
100,2,3,1
101,4,1,1
102,2,3,0
103,4,1,0
104,2,3,1
105,4,1,1
106,2,3,1
107,4,1,0
108,2,3,0
109,4,1,1
110,2,3,1
111,4,1,0
112,2,4,0
113,1,3,1
114,2,4,0
115,1,3,0
116,2,4,0
117,1,3,0
118,2,4,1
119,1,3,0
120,2,4,1
121,1,3,0
122,2,4,0
123,3,1,0
124,2,4,1
125,1,3,1
126,2,4,0
127,3,1,1
128,2,4,0
129,3,1,0
130,2,4,0
131,3,1,0
132,2,4,1
133,3,1,1
134,2,4,0
135,3,1,1
136,3,1,1
137,2,4,0
138,3,1,0
139,2,4,0
140,3,1,1
141,2,4,0
142,3,1,1
143,2,4,0
144,3,1,0
145,2,4,1
146,3,1,1
147,2,4,0
148,3,1,1
149,4,2,0
150,3,1,1
151,4,2,0
