,agent_1,agent_2,response
0,1,2,1
1,3,4,1
2,1,2,1
3,3,4,0
4,1,2,0
5,3,4,0
6,1,2,0
7,3,4,1
8,1,2,1
9,4,3,0
10,1,2,1
11,3,4,1
12,1,2,0
13,4,3,0
14,1,2,0
15,4,3,0
16,1,2,1
17,4,3,1
18,1,2,1
19,4,3,0
20,1,3,1
21,2,4,0
22,1,3,1
23,2,4,1
24,1,3,0
25,2,4,1
26,1,3,0
27,2,4,1
28,1,3,1
29,2,4,1
30,1,3,1
31,4,2,0
32,1,3,0
33,4,2,1
34,1,3,0
35,2,4,0
36,1,3,0
37,4,2,0
38,1,4,1
39,2,3,0
40,1,3,1
41,4,2,1
42,1,4,1
43,2,3,0
44,1,4,0
45,2,3,1
46,1,4,0
47,3,2,1
48,1,4,1
49,3,2,1
50,1,4,1
51,2,3,1
52,1,4,1
53,2,3,1
54,1,4,1
55,3,2,1
56,1,4,0
57,2,3,0
58,1,4,1
59,3,2,0
60,1,4,1
61,3,2,1
62,1,4,1
63,3,2,0
64,2,1,0
65,3,4,0
66,2,1,1
67,3,4,1
68,2,1,1
69,3,4,1
70,2,1,1
71,3,4,1
72,2,1,0
73,3,4,0
74,2,1,1
75,4,3,0
76,2,1,1
77,4,3,1
78,2,1,1
79,4,3,0
80,2,1,0
81,4,3,0
82,2,1,1
83,3,4,1
84,2,1,1
85,4,3,0
86,2,3,1
87,1,4,1
88,2,3,1
89,1,4,0
90,2,3,0
91,1,4,1
92,2,3,0
93,1,4,1
94,2,3,1
95,1,4,1
96,2,3,1
97,4,1,0
98,2,3,0
99,4,1,0
100,2,3,1
101,4,1,0
102,2,3,0
103,4,1,0
104,2,3,0
105,4,1,0
106,2,3,0
107,4,1,1
108,2,4,1
109,1,3,1
110,2,4,1
111,1,3,0
112,2,4,1
113,1,3,0
114,2,4,1
115,1,3,0
116,2,4,1
117,1,3,0
118,2,4,1
119,3,1,1
120,2,4,1
121,3,1,1
122,2,4,1
123,3,1,0
124,2,4,1
125,3,1,0
126,2,4,0
127,3,1,1
128,2,4,0
129,1,3,0
130,3,1,0
131,2,4,1
132,3,1,1
133,2,4,0
134,3,1,1
135,2,4,1
136,3,1,1
137,2,4,0
138,3,1,1
139,4,2,0
140,3,1,1
141,2,4,0
142,3,1,1
143,4,2,0
144,3,1,1
145,4,2,1
146,3,2,1
147,1,4,0
148,3,2,0
149,1,4,0
150,3,2,0
151,4,1,0
