,participant_id,age,agent,color,video_order,video_url,rating_enjoyment,rating_danger,rating_map_difficulty,perceived_playing_style,game_familiarity,watch_gaming_frequency,model_name,amplitude_condition,danger_condition,danger_score,map_difficulty_condition,map_difficulty_score,trajectory_unit,trajectory_model,trajectory
0,9176-0c7b52a3-1e6d-4010-ab92-d847a52a1368,29,low_danger_high_difficulty,red,1,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty_57.00_red.mp4,,49.0,,62.0,2.0,2.0,mr_2_1_10,low,low,0.37,high,0.57,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
1,9176-0c7b52a3-1e6d-4010-ab92-d847a52a1368,29,high_danger_low_difficulty,blue,2,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_blue.mp4,,55.0,,62.0,2.0,2.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
2,9176-0c7b52a3-1e6d-4010-ab92-d847a52a1368,29,low_danger_low_difficulty,yellow,3,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty_56.33_yellow.mp4,,29.0,,62.0,2.0,2.0,mr_2_1_10,high,low,0.42000000000000004,low,0.5633,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
3,9176-0c7b52a3-1e6d-4010-ab92-d847a52a1368,29,high_danger_high_difficulty,green,4,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_green.mp4,,79.0,,62.0,2.0,2.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
4,3900-f68b2fa7-dbe5-4cd8-9009-29629a165614,65,low_danger_high_difficulty,blue,1,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty_57.00_blue.mp4,,,12.0,55.0,1.0,0.0,mr_2_1_10,low,low,0.37,high,0.57,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
5,3900-f68b2fa7-dbe5-4cd8-9009-29629a165614,65,high_danger_low_difficulty,yellow,2,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_yellow.mp4,,,71.0,55.0,1.0,0.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
6,3900-f68b2fa7-dbe5-4cd8-9009-29629a165614,65,low_danger_low_difficulty,green,3,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty_56.33_green.mp4,,,82.0,55.0,1.0,0.0,mr_2_1_10,high,low,0.42000000000000004,low,0.5633,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
7,3900-f68b2fa7-dbe5-4cd8-9009-29629a165614,65,high_danger_high_difficulty,red,4,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty_71.67_red.mp4,,,80.0,55.0,1.0,0.0,mr_2_1_10,high,high,0.55,high,0.7167,mr_2_1_10_trajectory_high_amplitude_high_danger_0.055_high_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
8,3945-4ef3c975-fd82-43ee-a383-5598c3c5480f,56,low_danger_high_difficulty,yellow,1,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty_57.00_yellow.mp4,50.0,,,82.0,0.0,2.0,mr_2_1_10,low,low,0.37,high,0.57,mr_2_1_10_trajectory_low_amplitude_low_danger_0.037_high_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
9,3945-4ef3c975-fd82-43ee-a383-5598c3c5480f,56,high_danger_low_difficulty,green,2,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty_45.67_green.mp4,84.0,,,82.0,0.0,2.0,mr_2_1_10,low,high,0.47,low,0.4567,mr_2_1_10_trajectory_low_amplitude_high_danger_0.047_low_difficulty,mr_2_1_10,mr_2_1_10_low_amplitude
10,3945-4ef3c975-fd82-43ee-a383-5598c3c5480f,56,low_danger_low_difficulty,red,3,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty_56.33_red.mp4,56.0,,,82.0,0.0,2.0,mr_2_1_10,high,low,0.42000000000000004,low,0.5633,mr_2_1_10_trajectory_high_amplitude_low_danger_0.042_low_difficulty,mr_2_1_10,mr_2_1_10_high_amplitude
